epoch,train_loss,val_loss
811,-12075.53327086344,
812,-12252.113704615245,
813,-12215.840165507587,
814,-12164.724293262283,
815,-12160.919808977602,-12448.403381347656
816,-12046.049313583815,
817,-12325.859470962789,
818,-12048.799838556719,
819,-12066.946842259755,
820,-12331.700415462428,-12416.364685058594
821,-12033.459125496749,
822,-12022.705366013368,
823,-12317.900034998194,
824,-12241.147110955564,
825,-12075.873797642702,-12571.971923828125
826,-12280.827622606575,
827,-12342.294041275289,
828,-11980.403484013728,
829,-12237.83106597724,
830,-12227.776152682442,-12316.08642578125
831,-12014.56432893786,
832,-12252.176306222904,
833,-12428.584447254336,
834,-12012.487694183526,
835,-12110.338635747832,-12789.259582519531
836,-12372.59760544617,
837,-12283.722808661489,
838,-12145.910884438223,
839,-12322.588443822255,
840,-12315.966616239162,-12262.405639648438
841,-12069.139450867053,
842,-12367.347306268064,
843,-12217.869456737717,
844,-12026.465436461343,
845,-12338.914418126806,-12585.443786621094
846,-12258.275029353324,
847,-12162.155239568281,
848,-12282.555895502168,
849,-12239.459148076228,
850,-12144.850676255419,-12624.428894042969
851,-12255.695735865245,
852,-12203.017053152096,
853,-12228.029855717125,
854,-12215.503025650289,
855,-12234.821893063583,-12264.853759765625
856,-12189.847853820447,
857,-12256.051136876806,
858,-12160.521145682804,
859,-12143.216102555996,
860,-12171.38184158237,-12318.824279785156
861,-12190.843033101517,
862,-12169.339657469292,
863,-12245.276175261923,
864,-12243.643351472183,
865,-12187.095195086706,-12509.678344726562
866,-12205.825793668713,
867,-12160.860255599711,
868,-12176.457618316474,
869,-12244.773883444725,
870,-12203.811879064306,-12499.230041503906
871,-12280.152259076951,
872,-12222.407717666185,
873,-12312.764834718208,
874,-12316.092141212066,
875,-12029.847464324423,-12646.364990234375
876,-12349.020919888006,
877,-12192.110549132947,
878,-12151.637091311417,
879,-12385.502709537572,
880,-12127.586338285766,-12604.260803222656
881,-12252.787515805636,
882,-12443.93848220737,
883,-12277.71484939487,
884,-12268.490065028902,
885,-12271.871720330564,-12336.068420410156
886,-12258.267911172326,
887,-12497.991803648843,
888,-12254.484166139811,
889,-12253.825861407153,
890,-12500.181335802023,-12428.517578125
891,-12360.34271134393,
892,-12229.157966040462,
893,-12453.789164107659,
894,-12395.420333950506,
895,-12265.00202086344,-12746.034484863281
896,-12523.938120935694,
897,-12398.019011921966,
898,-12188.938826544436,
899,-12511.105242955202,
900,-12310.02435196893,-12580.166748046875
901,-12272.461558435694,
902,-12548.030589550217,
903,-12307.530877438583,
904,-12445.742385070447,
905,-12492.523262509032,-12498.658447265625
906,-12226.761684880781,
907,-12515.085214956647,
908,-12380.961287481936,
909,-12267.594060467847,
910,-12521.927147308526,-12856.5166015625
911,-12374.177429552023,
912,-12282.321520502168,
913,-12548.673246703396,
914,-12168.490488394147,
915,-12355.993423726517,-12865.783508300781
916,-12578.324021179553,
917,-12200.459210169798,
918,-12437.563216898483,
919,-12509.376507180275,
920,-12247.661364252168,-12664.596008300781
921,-12456.737095827311,
922,-12340.332838466402,
923,-12441.344308842125,
924,-12535.997386425217,
925,-12169.410912662572,-12759.861145019531
926,-12465.577357297689,
927,-12544.511289739885,
928,-12290.416405121026,
929,-12478.094506412572,
930,-12619.266776553468,-12394.980895996094
931,-12181.322451905708,
932,-12527.754465092125,
933,-12449.919825912211,
934,-12412.386069589957,
935,-12613.976099620664,-12648.23681640625
936,-12294.528105807442,
937,-12453.942106213874,
938,-12476.599575505781,
939,-12328.578638683164,
940,-12532.717316203034,-12302.36572265625
941,-12284.022895592485,
942,-12377.01940706286,
943,-12546.969167720375,
944,-12245.1914626987,
945,-12539.967457324783,-12952.182434082031
946,-12475.224180364885,
947,-12122.914525379336,
948,-12524.77428423049,
949,-12381.651717169436,
950,-12473.222628025651,-12927.55078125
951,-12619.138835576228,
952,-12317.186218614523,
953,-12533.02827515354,
954,-12618.629436867775,
955,-12224.67579253974,-12725.061462402344
956,-12548.883568912572,
957,-12492.00287888367,
958,-12412.558046197615,
959,-12546.578616103685,
960,-12506.571046333092,-12742.656005859375
961,-12511.706139360549,
962,-12588.362795791185,
963,-12373.16596482117,
964,-12576.416224485189,
965,-12563.42374909682,-12340.324462890625
966,-12219.086135070447,
967,-12562.775187409683,
968,-12634.235780572615,
969,-12106.391516889451,
970,-12392.38670746026,-12920.807434082031
971,-12630.940830473266,
972,-12498.45514586344,
973,-12564.295407333815,
974,-12659.879312680636,
975,-12356.83208205383,-12770.269714355469
976,-12502.965848536849,
977,-12662.978690615968,
978,-12720.593100839957,
979,-12266.143232929913,
980,-12446.944556087428,-12794.567138671875
981,-12692.40128815932,
982,-12535.037764179913,
983,-12498.309282424132,
984,-12584.28898911669,
985,-12535.361367639089,-12799.8505859375
986,-12548.097311912934,
987,-12606.59673049133,
988,-12549.426317512645,
989,-12589.474705337789,
990,-12423.932730084898,-12688.472717285156
991,-12503.566586885838,
992,-12634.516934609826,
993,-12390.706732071892,
994,-12486.910489297326,
995,-12509.595217666185,-12660.873107910156
996,-12412.377506322255,
