epoch,loss
678,-10313.150848002373
679,-10330.675323872627
680,-10269.75176770174
681,-10270.310274920887
682,-10095.56602304193
683,-10148.855419303798
684,-10141.626841871044
685,-10145.439218255538
686,-9977.52477254747
687,-9955.815664556962
688,-10205.975066752373
689,-10329.286244066456
690,-10385.392998417721
691,-10401.469986155063
692,-10394.385655656646
693,-10133.801362242879
694,-9999.364542128165
695,-10206.431690071202
696,-10253.35216821598
697,-10266.558099287975
698,-10326.583044897152
699,-10370.643406348892
700,-10185.112774426425
701,-10143.455164655854
702,-10328.474040743671
703,-10400.298296578323
704,-10429.091562005538
705,-10398.238924050633
706,-10361.719244462025
707,-10135.825318928006
708,-10048.307753164558
709,-10213.245673457279
710,-10279.117039161392
711,-10389.639598991298
712,-10406.665508801425
713,-10415.88439477848
714,-10439.918821696994
715,-10300.20586926424
716,-10122.583551720727
717,-10341.169093651108
718,-10396.204151008702
719,-10207.934595035602
720,-10078.835986946202
721,-10293.834330498417
722,-10293.273363330696
723,-10366.223484473892
724,-10431.215573081487
725,-10330.87538320807
726,-10391.176436412183
727,-10439.37341772152
728,-10406.723731704906
729,-10434.43202383307
730,-10448.507552907437
731,-10403.885309533227
732,-10250.63885729826
733,-10150.396385482594
734,-10144.547962816456
735,-10376.579002670094
736,-10444.286639636075
737,-10443.34080795095
738,-10324.22008504747
739,-10312.300014833861
740,-9991.750865308544
741,-10182.048852848102
742,-10401.0634765625
743,-10494.679168314873
744,-10529.076740506329
745,-10547.314774525317
746,-10390.830300632912
747,-10344.218243176425
748,-10370.432320510285
749,-10473.892911886867
750,-10474.146261867088
751,-10205.851327630538
752,-10043.485982001583
753,-10084.443087420887
754,-10352.757540545887
755,-10474.866866099683
756,-10475.890909315665
757,-10553.964349287975
758,-10566.177610759494
759,-10560.64416040348
760,-10465.215733781646
761,-10347.924396756329
762,-10326.343465684335
763,-10455.642911886867
764,-10498.153468651108
765,-10532.832599881329
766,-10464.674730518196
767,-10409.927425336235
768,-10290.320176522942
769,-10184.902034711235
770,-10227.89784414557
771,-10349.041732594937
772,-10509.392615209652
773,-10471.854244956487
774,-10527.484869462025
775,-10545.581586234177
776,-10537.070201246044
777,-10525.404037282437
778,-10559.210640822785
779,-10549.540335739715
780,-10511.301807258702
781,-10250.057048556171
782,-10335.199626681171
783,-10357.82873071598
784,-10208.773660007912
785,-10219.317679489715
786,-10348.885396064083
787,-10359.149574762658
788,-10225.309916435917
789,-10457.507268591773
790,-10576.869029371044
791,-10611.827482199367
792,-10602.454657832279
793,-10635.994536194621
794,-10617.44664754747
795,-10619.886632219146
796,-10581.845703125
797,-10608.829744363133
798,-10476.395186412183
799,-10286.809100573575
800,-10244.086703916139
801,-10298.334503560127
802,-10466.45002225079
803,-10461.55451443829
804,-10566.369647448575
805,-10657.526268295094
806,-10639.853453817246
807,-10629.823402887658
808,-10562.019778481013
809,-10507.115803006329
810,-10567.96308840981
811,-10563.745178995254
812,-10634.555738231804
813,-10571.811486352848
814,-10360.67736352848
815,-10139.17518789557
816,-10419.471518987342
817,-10475.270235858387
818,-10485.339979727058
819,-10481.731915051425
820,-10579.11134048655
821,-10528.867607792721
822,-10592.361179786392
823,-10592.449367088608
